strikes,date,village,region,year,leaders_killed,leader_names,leader_description,militants_low,militants_high,militants_avg,unknown_low,unknown_high,unknown_avg,civilians_low,civilians_high,civilians_avg,total_low,total_high,total_avg,president_name,president_number,target_type,target_description,target_organization_name,target_group,geo_lat,geo_lon,province,strike_type,Source,Source_1,Source_2,Source_3,Source_4,Source_5,Source_6,OBJECTID,PROVINCE_2,DISTRICT,PA
true,1/29/2008,Near Mir Ali,North Waziristan,2008,1,Abu Laith al-Libi,"Senior Commander, al Qaeda",12,13,12.5,0,0,0,,,,12,13,12.5,Bush,43,Unclear,Abu Laith al Libi,Al-Qaeda,3. Al-Qaeda,32.99398,70.237999,Federally Administered Tribal Areas,,Dawn,CNN,ODNI,,,,,,,,
true,2/28/2008,Azam Warzak,South Waziristan,2008,0,,,8,13,10.5,,,,,,,8,13,10.5,Bush,43,Training camp,,Al-Qaeda,3. Al-Qaeda,32.308025,69.409561,Federally Administered Tribal Areas,,Dawn,Washington Post,,,,,,,,,
true,3/16/2008,"Dhook Pir Bagh, near Wana",South Waziristan,2008,0,,,7,20,13.5,,,,,,,7,20,13.5,Bush,43,House,,Al-Qaeda,3. Al-Qaeda,32.316151,69.462433,Federally Administered Tribal Areas,,Agence France Press,,,,,,,,,,
true,5/14/2008,Damadola,Bajaur,2008,1,Abu Sulayman Jazairi,"Weapons Expert, al Qaeda",1,1,1,12,15,13.5,0,0,0,13,16,14.5,Bush,43,Compound,Abu Sulayman Jazairi,Al-Qaeda,3. Al-Qaeda,34.809856,71.531296,Federally Administered Tribal Areas,,LA Times,Guardian,Dawn,,,,,,,,
true,6/14/2008,Makeen,South Waziristan,2008,0,,,1,1,1,,,,,,,1,1,1,Bush,43,House,Baitullah Mehsud,Baitullah Mehsud Faction (Taliban),2. Taliban factions,32.622604,69.829102,Federally Administered Tribal Areas,,GeoTV,,,,,,,,,,
true,7/28/2008,Zeralita in the Azam Warsak region,South Waziristan,2008,1,"Abu Khabab al Masri, aka Midhat Mursi al-Sayid Umar","Chemist and bombmaker, al Qaeda",4,6,5,0,0,0,0,0,0,4,6,5,Bush,43,Madrassa,Abu Khabab al Masri,Al-Qaeda,3. Al-Qaeda,32.288296,69.439774,Federally Administered Tribal Areas,,BBC News,Guardian,CBS,CNN,,,,,,,
true,8/12/2008,"Bhagar, 22 miles west of Wana",South Waziristan,2008,1,Abdul Rehman,"Commander, Taliban",9,12,10.5,0,0,0,0,0,0,9,12,10.5,Bush,43,Compound,"Abdul Rehman, Taliban commander",Taliban,1. Taliban,32.311508,69.320984,Federally Administered Tribal Areas,,The Nation,Reuters,,,,,,,,,
true,8/20/2008,Wana,South Waziristan,2008,0,,,5,10,7.5,,,,,,,5,10,7.5,Bush,43,House,"Haji Yaqub, Mullah Nazir",Al-Qaeda,3. Al-Qaeda,32.301064,69.598389,Federally Administered Tribal Areas,,Agence France Press,,,,,,,,,,
true,8/27/2008,Ganghikhel area,South Waziristan,2008,0,,,0,0,0,,,,,,,0,0,0,Bush,43,House,,Unclear,7. Unclear,32.3028,69.5805,Federally Administered Tribal Areas,,Dawn,New York Times,,,,,,,,,
true,8/30/2008,Korzai region near Wana,South Waziristan,2008,0,,,5,6,5.5,,,,,,,5,6,5.5,Bush,43,House,"Noor Khan Wazir, Mullah Nazir",Taliban,1. Taliban,32.326595,69.521484,Federally Administered Tribal Areas,,Daily Times of Pakistan,,,,,,,,,,
true,8/31/2008,"Tappi, Miram Shah",North Waziristan,2008,0,,,4,6,5,0,0,0,2,2,2,6,8,7,Bush,43,Unclear,,Unclear,7. Unclear,33.01442,70.061188,Federally Administered Tribal Areas,,GeoTV,PBS,,,,,,,,,
true,9/4/2008,Char Khel,North Waziristan,2008,1,Abu Wafa Al Saudi,"Logistics Expert, al Qaeda",0,0,0,4,7,5.5,,,,4,7,5.5,Bush,43,House,,Haqqani Network,4. Haqqani Network,33.016724,69.848328,Federally Administered Tribal Areas,,Long War Journal,WSJ,LWJ,Dawn,,,,,,,
true,9/5/2008,Gurwak,North Waziristan,2008,0,,,0,5,2.5,0,0,0,5,7,6,5,12,8.5,Bush,43,Unclear,,Unclear,7. Unclear,33.046658,69.539337,Federally Administered Tribal Areas,,GeoTV,Reuters,Wash Post,New York Times,,,,,,,
true,9/8/2008,"Danda Darpa Khel, outside Miram Shah",North Waziristan,2008,1,Abu Haris,al Qaeda chief in Pakistan,4,4,4,16,18,17,0,3,1.5,20,25,22.5,Bush,43,Compound,Abu Haris,Al-Qaeda,3. Al-Qaeda,33.01442,70.085907,Federally Administered Tribal Areas,,CNN,Guardian,,,,,,,,,
true,9/12/2008,Tol Khel on the outskirts of Miram Shah,North Waziristan,2008,0,,,8,8,8,4,4,4,0,0,0,12,12,12,Bush,43,House,,Unclear,7. Unclear,33.004059,70.074921,Federally Administered Tribal Areas,,AFP,SATP,,,,,,,,,
true,9/17/2008,"Baghar Cheena region, 55km west of Wana",South Waziristan,2008,1,"Abu Ubaydah al Tunisi, probably",Mid-level al Qaeda leader.,5,7,6,,,,,,,5,7,6,Bush,43,Training camp,,Taliban,1. Taliban,32.500496,69.283905,Federally Administered Tribal Areas,,Dawn,BBC News,New York Times,,,,,,,,
true,10/1/2008,"Khusali Toorikhel, near Mir Ali",North Waziristan,2008,0,,,4,5,4.5,,,,,,,4,5,4.5,Bush,43,Unclear,,Unclear,7. Unclear,32.97699,70.303574,Federally Administered Tribal Areas,,GeoTV,LWJ,,,,,,,,,
true,10/3/2008,"Mohammad Khel, near Datta Khel",North Waziristan,2008,0,,,8,21,14.5,,,,,,,8,21,14.5,Bush,43,Unclear,,Unclear,7. Unclear,32.998299,69.723358,Federally Administered Tribal Areas,,GeoTV,LWJ,,,,,,,,,
true,10/3/2008,Datta Khel,North Waziristan,2008,0,,,0,0,0,0,0,0,3,3,3,3,3,3,Bush,43,House,,Haqqani Network,4. Haqqani Network,33.001755,69.704132,Federally Administered Tribal Areas,,Reuters,LWJ,,,,,,,,,
true,10/9/2008,"Tati, near Miram Shah",North Waziristan,2008,0,,,3,4,3.5,0,0,0,3,5,4,6,9,7.5,Bush,43,House,"Faisal Mohammad Sultan, Hafiz Sahar Gul",Taliban,1. Taliban,32.994843,70.167618,Federally Administered Tribal Areas,,Reuters,The News,,,,,,,,,
true,10/11/2008,Just outside Miram Shah,North Waziristan,2008,0,,,4,5,4.5,,,,,,,4,5,4.5,Bush,43,Gathering,,Al-Qaeda,3. Al-Qaeda,32.99369,70.092087,Federally Administered Tribal Areas,,GeoTV,AFP,,,,,,,,,
true,10/16/2008,"Taparghai, near Saam in the Ladha region",South Waziristan,2008,1,Khalid Habib,"Commander, al Qaeda",1,1,1,3,3,3,0,0,0,4,4,4,Bush,43,Unclear,Khalid Habib,Al-Qaeda,3. Al-Qaeda,32.540447,69.854507,Federally Administered Tribal Areas,,CNN,New York Times,,,,,,,,,
true,10/23/2008,"Danda Darpa Khel, outside Miram Shah",North Waziristan,2008,0,,,0,3,1.5,4,7,5.5,,,,4,10,7,Bush,43,Unclear,,Unclear,7. Unclear,33.023632,70.074577,Federally Administered Tribal Areas,,Reuters,PBS,,,,,,,,,
true,10/26/2008,Shakai region north of Wana,South Waziristan,2008,1,Mohammad Omar,"Commander, Taliban",20,20,20,,,,,,,20,20,20,Bush,43,Compound,,Taliban,1. Taliban,32.552601,69.609375,Federally Administered Tribal Areas,,Dawn,BBC,Reuters,,,,,,,,
true,10/31/2008,Mir Ali,North Waziristan,2008,1,"Abu Jihad al Masri, aka Mohammad Hasan Khalil al-Hakim","Propaganda Chief, al Qaeda",8,15,11.5,,,,,,,8,15,11.5,Bush,43,Vehicle,Abu Jihad al-Masri,Al-Qaeda,3. Al-Qaeda,32.9767,70.269241,Federally Administered Tribal Areas,,Agence France Press,BBC News,AFP,,,,,,,,
true,10/31/2008,Wana,South Waziristan,2008,0,,,7,12,9.5,,,,,,,7,12,9.5,Bush,43,House,Mullah Nazir,Taliban,1. Taliban,32.29874,69.54071,Federally Administered Tribal Areas,,GeoTV,BBC News,Agence France Press,,,,,,,,
true,11/7/2008,"Kumsham, 22 miles south of Miram Shah",North Waziristan,2008,0,,,13,14,13.5,,,,,,,13,14,13.5,Bush,43,Unclear,,Unclear,7. Unclear,32.751476,70.072174,Federally Administered Tribal Areas,,Agence France Press,,,,,,,,,,
true,11/14/2008,Garyom,North Waziristan,2008,0,,,0,0,0,0,0,0,11,13,12,11,13,12,Bush,43,House,Mir Gul,Unclear,7. Unclear,32.707577,69.873047,Federally Administered Tribal Areas,,Reuters,Geo Pakistan,Dawn,,,,,,,,
true,11/19/2008,Jani Khel,Khyber Pakhtunkhwa,2008,1,Abdullah Azzam al Saudi,"Operations Leader, al Qaeda. Coordinator between AQ and the Taliban.",5,5,5,,,,,,,5,5,5,Bush,43,House,Dilber AKA Parpand,Taliban,1. Taliban,32.799973,70.489655,Khyber Pakhtunkhwa,,CNN,Reuters,,,,,,64,KHYBER PAKHTUNKHWA,BANNU,PK-72
true,11/22/2008,Ali Khel region just outside of Miram Shah,North Waziristan,2008,2,Rashid Rauf and Abu Zubair al Masri,Rauf was a British al Qaeda operative and suspect in the 2006 transatlantic aircraft plot. Abu Zubair al-Masri was an al Qaeda explosives expert.,5,5,5,,,,,,,5,5,5,Bush,43,Unclear,,Unclear,7. Unclear,32.981308,70.067368,Federally Administered Tribal Areas,,New York Times,CNN,Reuters,Dawn,Guardian,,,,,,
true,11/29/2008,"Chashma, a village on the outskirts of Miram Shah",North Waziristan,2008,0,,,2,3,2.5,,,,,,,2,3,2.5,Bush,43,House,Taj Mohammad,Unclear,7. Unclear,32.98822,70.046425,Federally Administered Tribal Areas,,CNN,Reuters,,,,,,,,,
true,12/5/2008,"Katira in Khushal Torikhel area, Mir Ali",North Waziristan,2008,0,,,3,4,3.5,,,,,,,3,4,3.5,Bush,43,House,,Unclear,7. Unclear,32.9315,70.3052,Federally Administered Tribal Areas,,,,,,,,,,,,
true,12/11/2008,Azam Warzak,South Waziristan,2008,0,,,6,7,6.5,,,,,,,6,7,6.5,Bush,43,Unclear,,Unclear,7. Unclear,32.31673,69.384155,Federally Administered Tribal Areas,,GeoTV,Reuters,,,,,,,,,
true,12/15/2008,Tapi Tool region near Miram Shah,North Waziristan,2008,0,,,2,3,2.5,,,,,,,2,3,2.5,Bush,43,Unclear,,Unclear,7. Unclear,32.983322,70.08728,Federally Administered Tribal Areas,,GeoTV,PBS,,,,,,,,,
true,12/22/2008,Azam Warzak near Wana,South Waziristan,2008,,,,2,3,2.5,,,,,,,2,3,2.5,Bush,43,Unclear,,Unclear,7. Unclear,32.30526109,69.45419308,Federally Administered Tribal Areas,,Daily Times,AFP,BBC,Dawn,,,,,,,
true,12/22/2008,"Ghwakhwa, Wana",South Waziristan,2008,0,,,3,5,4,,,,,,,3,5,4,Bush,43,Unclear,,Unclear,7. Unclear,32.296421,69.498825,Federally Administered Tribal Areas,,AFP,LWJ,BBC,,,,,,,,
true,1/1/2009,"Karikot, near Wana",South Waziristan,2009,2,Usama al-Kin and Sheikh Ahmed Salim Swedan,Osama al Kini was al-Qaeda's chief of operations in Pakistan. Sheikh Ahmed Salim Swedan was a senior aid to al Kini believed to have participated in the 1998 embassy bombings.,2,3,2.5,,,,,,,2,3,2.5,Bush,43,Compound,"Osama al Kini, Sheikh Ahmed Salin Swedan, Mullah Nazir",Al-Qaeda,3. Al-Qaeda,32.319633,69.501572,Federally Administered Tribal Areas,,Washington Post,BBC,Telegraph,,,,,,,,
true,1/2/2009,Ladha,South Waziristan,2009,0,,,3,4,3.5,,,,,,,3,4,3.5,Bush,43,Compound,Baitullah Mehsud,Baitullah Mehsud Faction (Taliban),2. Taliban factions,32.539288,69.875793,Federally Administered Tribal Areas,,GeoTV,LWJ,,,,,,,,,
true,1/23/2009,"Zharki (Zera), near Mir Ali",North Waziristan,2009,0,,,4,4,4,0,0,0,5,6,5.5,9,10,9.5,Obama,44,Compound,,Taliban,1. Taliban,32.9538,70.262459,Federally Administered Tribal Areas,,Washington Post,GeoTV,,,,,,,,,
true,1/23/2009,"Dilfaraz or Ghangi Khel, near Wana",South Waziristan,2009,0,,,0,0,0,10,10,10,,,,10,10,10,Obama,44,Unclear,,Unclear,7. Unclear,32.270878,69.589462,Federally Administered Tribal Areas,,Washington Post,Geo Pakistan,,,,,,,,,
true,2/14/2009,"Near Narsikhel, Ladha",South Waziristan,2009,0,,,16,30,23,,,,,,,16,30,23,Obama,44,Compound,Baitullah Mehsud,Al-Qaeda,3. Al-Qaeda,32.520184,69.868927,Federally Administered Tribal Areas,,New York Times,CNN Wires (email,2/14/09)Reuters,Geo TV,,,,,,,
true,2/16/2009,"Sur Pul, near Parachinar",Kurram,2009,0,,,7,23,15,8,8,8,,,,15,31,23,Obama,44,Compound,Afghan Commander Bahram Khan Kochi,Taliban,1. Taliban,33.683212,70.290527,Federally Administered Tribal Areas,,CNN,New York Times,GeoTV,LWJ,,,,,,,
true,3/1/2009,"Sararogha, near Wana",South Waziristan,2009,0,,,7,12,9.5,,,,,,,7,12,9.5,Obama,44,Compound,,Taliban,1. Taliban,32.49065,70.004883,Federally Administered Tribal Areas,,GeoTV,AP,New York Times,,,,,,,,
true,3/12/2009,Barjo,Kurram,2009,0,,,11,24,17.5,,,,,,,11,24,17.5,Obama,44,House,,Taliban,1. Taliban,33.808819,70.279541,Federally Administered Tribal Areas,,GeoTV,CNN,Washington Post,Reuters,,,,,,,
true,3/15/2009,"Jani Khel, Bannu",Khyber Pakhtunkhwa,2009,0,,,2,5,3.5,,,,,,,2,5,3.5,Obama,44,House,Local militant commander Taj Ali Khan,Unclear,7. Unclear,32.797665,70.496521,Khyber Pakhtunkhwa,,GeoTV,New York Times,BBC,Washington Post,,,,64,KHYBER PAKHTUNKHWA,BANNU,PK-72
true,3/25/2009,Makeen,South Waziristan,2009,0,,,7,7,7,,,,,,,7,7,7,Obama,44,Vehicle,Baitullah Mehsud,Baitullah Mehsud Faction (Taliban),2. Taliban factions,32.616241,69.848328,Federally Administered Tribal Areas,,CNN,GeoTV,Dawn,,,,,,,,
true,3/26/2009,"Sokhel, Mir Ali",North Waziristan,2009,0,,,4,5,4.5,,,,,,,4,5,4.5,Obama,44,House,"Malik Gulab Khan, pro-militant tribal elder",Al-Qaeda,3. Al-Qaeda,32.966618,70.32074,Federally Administered Tribal Areas,,Washington Post,GeoTV,Dawn,,,,,,,,
true,4/1/2009,Khadezai,Orakzai,2009,0,,,7,9,8,3,3,3,2,2,2,12,14,13,Obama,44,Compound,"Baitullah Mehsud's deputy, Hakimullah Mehsud",Taliban,1. Taliban,33.672928,70.911255,Federally Administered Tribal Areas,,Reuters,AP,New York Times,GeoTV,CNN wireBBC,,,,,,
true,4/4/2009,"Datta Khel, near Miram Shah",North Waziristan,2009,0,,,6,8,7,0,0,0,5,7,6,11,15,13,Obama,44,House,Taliban facilitator Tariq Khan,Taliban,1. Taliban,32.984474,69.715805,Federally Administered Tribal Areas,,GeoTV,AFP,Reuters,Daily Times,,,,,,,
true,4/8/2009,Wana,South Waziristan,2009,0,,,3,4,3.5,,,,,,,3,4,3.5,Obama,44,Vehicle,,Taliban,1. Taliban,32.321957,69.586716,Federally Administered Tribal Areas,,GeoTV,AP,Dawn,,,,,,,,
true,4/19/2009,"Gangi Khel, outskirts of Wana",South Waziristan,2009,0,,,0,8,4,,,,,,,0,8,4,Obama,44,Training camp,,Taliban,1. Taliban,32.281906,69.553757,Federally Administered Tribal Areas,,CNN,AFP,Reuters,AP,,,,,,,
true,4/29/2009,"Kaniguram, near Wana",South Waziristan,2009,1,Abu Sulayman al-Jazairi,Abu Sulayman al-Jazairi was an Algerian al Qaeda trainer suspected of helping to plan attacks in Europe and the United States.,0,0,0,6,6,6,0,0,0,6,6,6,Obama,44,House,Missiles fired by a suspected US drone on Wednesday killed at least six people in S.,Al-Qaeda,3. Al-Qaeda,32.520184,69.783783,Federally Administered Tribal Areas,,Dawn,New York Times,Nation,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"Waziristan bordering Afghanistan, officials said. Abu Sulayman al-Jazairi; Baitullah Mehsud/Mullah Nazir",,,,,,,,,,,,,,,,,
true,5/9/2009,"Tabbi Langar Khel, near Sarorogha",South Waziristan,2009,0,,,0,5,2.5,8,15,11.5,0,0,0,8,20,14,Obama,44,Compound,Baitullah Mehsud,Baitullah Mehsud Faction (Taliban),2. Taliban factions,32.479645,70.018616,Federally Administered Tribal Areas,,Reuters,The Nation,,,,,,,,,
true,5/12/2009,"Sara Khwara, 25 km west of Wana",South Waziristan,2009,0,,,4,6,5,4,4,4,0,0,0,8,10,9,Obama,44,Unclear,Baitullah Mehsud,Baitullah Mehsud Faction (Taliban),2. Taliban factions,32.298161,69.349136,Federally Administered Tribal Areas,,Reuters,Dawn,CNN,,,,,,,,
true,5/16/2009,"Khesoor, 18 miles east of Miram Shah",North Waziristan,2009,0,,,10,40,25,,,,,,,10,40,25,Obama,44,Madrassa,,Unclear,7. Unclear,33.005211,70.272675,Federally Administered Tribal Areas,,The News,Dawn,CNN,,,,,,,,
true,6/14/2009,"Mardar Algad, Ladha",South Waziristan,2009,0,,,3,5,4,,,,,,,3,5,4,Obama,44,Vehicle,Baitullah Mehsud,Baitullah Mehsud Faction (Taliban),2. Taliban factions,32.524815,69.883347,Federally Administered Tribal Areas,,CNN,Reuters,AFP,BBC,,,,,,,
true,6/18/2009,"Shah Alam, Birmal, near Wana",South Waziristan,2009,0,,,1,11,6,,,,,,,1,11,6,Obama,44,House,Maulvi Nazir,Taliban,1. Taliban,32.288876,69.608688,Federally Administered Tribal Areas,,BBC,al Jazeera,CNN,AFP,,,,,,,
true,6/18/2009,"Raghzai area, near Wana",South Waziristan,2009,0,,,1,9,5,,,,,,,1,9,5,Obama,44,Compound,"Malang Wazir, local Taliban commander",Taliban,1. Taliban,32.334141,69.568176,Federally Administered Tribal Areas,,GeoTV,Al Jazeera,VOA,,,,,,,,
true,6/23/2009,"Neej Narai, outside Makeen",South Waziristan,2009,1,Niaz Wali Mehsud,Niaz Wali Mehsud was a local TTP commander.,2,6,4,,,,,,,2,6,4,Obama,44,Compound,Baitullah Mehsud,Baitullah Mehsud Faction (Taliban),2. Taliban factions,32.609882,69.833221,Federally Administered Tribal Areas,,Reuters,CNN,NYT,Guardian,,,,,,,
true,6/23/2009,Makeen,South Waziristan,2009,0,,,2,2,2,3,37,20,35,41,38,40,80,60,Obama,44,Funeral,Baitullah Mehsud,Baitullah Mehsud Faction (Taliban),2. Taliban factions,32.622604,69.852448,Federally Administered Tribal Areas,,NYT,Times Online,Reuters,Daily Ti,,,,,,,
true,7/3/2009,Mantoi area,South Waziristan,2009,0,,,0,10,5,,,,,,,0,10,5,Obama,44,Compound,Baitullah Mehsud,Baitullah Mehsud Faction (Taliban),2. Taliban factions,32.592525,69.599075,Federally Administered Tribal Areas,,GeoTV,LWJ,,,,,,,,,
true,7/3/2009,"Zamarai Nairai, near Kokat Khel, 28 miles east of Wana",South Waziristan,2009,0,,,6,35,20.5,,,,,,,6,35,20.5,Obama,44,Training camp,Taliban commander Noor Wali,Taliban,1. Taliban,32.285973,69.988403,Federally Administered Tribal Areas,,NYT,BBC,CNN,al Jazeera,,,,,,,
true,7/7/2009,"Jangara, Makeen",South Waziristan,2009,0,,,12,16,14,,,,,,,12,16,14,Obama,44,Training camp,Baitullah Mehsud,Baitullah Mehsud Faction (Taliban),2. Taliban factions,32.623184,69.841461,Federally Administered Tribal Areas,,AP,VOA,Al Jazeera,Dawn,,,,,,,
true,7/8/2009,"Laddha, Karwan Manza",South Waziristan,2009,0,,,6,10,8,,,,,,,6,10,8,Obama,44,Training camp,Baitullah Mehsud,Baitullah Mehsud Faction (Taliban),2. Taliban factions,32.52771,69.855881,Federally Administered Tribal Areas,,Dawn,Reuters,GeoTV,,,,,,,,
true,7/8/2009,Karwan Manza,South Waziristan,2009,0,,,17,40,28.5,,,,,,,17,40,28.5,Obama,44,Vehicle,Baitullah Mehsud,Baitullah Mehsud Faction (Taliban),2. Taliban factions,32.52771,69.863434,Federally Administered Tribal Areas,,Reuters,Dawn,BBC,,,,,,,,
true,7/10/2009,Painda Khel,South Waziristan,2009,0,,,3,5,4,,,,,,,3,5,4,Obama,44,Compound,Baitullah Mehsud,Baitullah Mehsud Faction (Taliban),2. Taliban factions,32.320793,69.623795,Federally Administered Tribal Areas,,NYT,Reuters,Reuters India,,,,,,,,
true,7/17/2009,"Gariwan, 19 miles south of Miram Shah",North Waziristan,2009,0,,,4,5,4.5,,,,,,,4,5,4.5,Obama,44,Training camp,Baitullah Mehsud,Baitullah Mehsud Faction (Taliban),2. Taliban factions,32.704109,70.063934,Federally Administered Tribal Areas,,BBC,AP,AFP,Reuters,,,,,,,
true,8/5/2009,Zangra village of Ladha,South Waziristan,2009,1,Baitullah Mehsud,"Baitullah Mehsud was the leader of the Tehrik-i-Taliban Pakistan. He was linked to several high-profile acts of terrorism, most notably the assassination of Prime Minister Benazir Bhutto.",1,9,5,0,1,0.5,1,2,1.5,2,12,7,Obama,44,House,Baitullah Mehsud,Baitullah Mehsud Faction (Taliban),2. Taliban factions,32.582691,69.849014,Federally Administered Tribal Areas,,NBC,NYT,Guardian,,,,,,,,
true,8/11/2009,"Kani Guram, four miles from Ladha",South Waziristan,2009,0,,,8,8,8,2,6,4,0,0,0,10,14,12,Obama,44,Training camp,,Taliban,1. Taliban,32.524239,69.794769,Federally Administered Tribal Areas,,Geo TV,Dawn,AP,,,,,,,,
true,8/21/2009,"Darpa Khel, outside Miram Shah",North Waziristan,2009,0,,,3,3,3,1,9,5,8,9,8.5,12,21,16.5,Obama,44,Unclear,,Haqqani Network,4. Haqqani Network,33.003483,70.031662,Federally Administered Tribal Areas,,Reuters,Geo TV,AP,NYT,,,,,,,
true,8/27/2009,Tapar Ghai areain the Kanigram district,South Waziristan,2009,1,"Taher Yuldashev, aka Tohir Yuldash",Head of the Islamic Movement of Uzbekistan. Ally of Baitullah Mehsud.,4,8,6,,,,,,,4,8,6,Obama,44,Compound,,Al-Qaeda,3. Al-Qaeda,32.509182,69.798889,Federally Administered Tribal Areas,,Reuters,AFP,The News,BBC,CNN,,,,,,
true,9/7/2009,"Machi Khel, near Mir Ali",North Waziristan,2009,0,,,1,4,2.5,3,3,3,,,,4,7,5.5,Obama,44,Madrassa,,Al-Qaeda,3. Al-Qaeda,32.995419,70.31662,Federally Administered Tribal Areas,,AP,NYT,Geo TV,WSJ,,,,,,,
true,9/8/2009,"Dargamandi village, 3 miles northwest of Miram Shah",North Waziristan,2009,0,,,4,5,4.5,5,5,5,,,,9,10,9.5,Obama,44,House,"Ismail Khan, local tribesman",Unclear,7. Unclear,33.046082,70.019989,Federally Administered Tribal Areas,,AFP,Geo TV,Al Jazeera,Reuters,,,,,,,
true,9/14/2009,"Toori Khel, near Mir Ali",North Waziristan,2009,1,Najmiddin Kamolitdinovic Jalolov,Nazimuddin Zalalov also known as Yahyo was a senior Uzbeck militant linked with Al Qaeda.,4,6,5,,,,,,,4,6,5,Obama,44,Vehicle,,Taliban,1. Taliban,32.959129,70.287094,Federally Administered Tribal Areas,,New York Times,Reuters,,,,,,,,,
true,9/24/2009,Near Mir Ali,North Waziristan,2009,0,,,3,12,7.5,,,,,,,3,12,7.5,Obama,44,House,,Haqqani Network,4. Haqqani Network,32.97123,70.245895,Federally Administered Tribal Areas,,BBC,AP,Reuters,Al Jazeera,,,,,,,
true,9/29/2009,Sararogha,South Waziristan,2009,0,,,5,6,5.5,,,,,,,5,6,5.5,Obama,44,Compound,"Irfan Mehsud, local Taliban commander",Taliban,1. Taliban,32.493546,70.023422,Federally Administered Tribal Areas,,AP,Geo TV,AFP,Reuters,,,,,,,
true,9/29/2009,Danda Darpakhel,North Waziristan,2009,0,,,1,3,2,4,4,4,,,,5,7,6,Obama,44,House,,Taliban,1. Taliban,32.997723,70.041962,Federally Administered Tribal Areas,,AFP,Geo TV,BBC,The Nation Pakistan,,,,,,,
true,9/30/2009,"Norak, 12 miles east of Miram Shah",North Waziristan,2009,0,,,5,9,7,,,,,,,5,9,7,Obama,44,Compound,,Taliban,1. Taliban,32.989082,70.328293,Federally Administered Tribal Areas,,Geo TV,Reuters,AFP,The Nation Pakistan,,,,,,,
