indicatorcategory,indicator,datamethods,indicator_short,data_short,val
Output,Ratio of satisfied vs. dissatisfied users,"Feedback records of Beneficiary (NADRA call center, hospital proforma ",User Satisfaction Ratio,Beneficiary Feedback,1.1
Output,"Number of services utilized by (rural/urban, gender, income groups).",MIS ,Services Utilized (Demographics),MIS,1.1
Output,Increase in the number of private healthcare providers joining the panel.,SLIC contracts,Private Providers Joining Panel,SLIC Contracts,1.1
Outcome,Number of beneficiaries paid for their health,Beneficiary surveys,Beneficiaries Paid for Health,Beneficiary Surveys,1.2
Outcome,Number of households avoiding catastrophic health expenditure (rural/urban),"Beneficiary surveys, household surveys",Households Avoiding Catastrophic Health Spend,Surveys (Beneficiary/HH),1.2
Outcome,"Number of households started spending on education, food, and hygiene",Household surveys,"Household Spend on Education, Food, Hygiene",Household Surveys,1.2
Outcome,Number of beneficiaries reporting increased access to healthcare (rural/urban),Beneficiary surveys,Increased Access to Healthcare,Beneficiary Surveys,1.2
Outcome,Utilization of services in rural vs. urban areas,MIS,Rural vs. Urban Service Utilization,MIS,1.2
Impact,"Number of households reported reduction in disease burden (maternal mortality, chronic illnesses)",Health department records,Reduced Disease Burden,Health Dept. Records,1.1
Impact,Increase in life expectancy and quality-adjusted life years (QALYs),Health department records,Increase in Life Expectancy/QALYs,Health Dept. Records,1.1
Impact,Reduction in poverty due to healthcare savings,Household surveys,Poverty Reduction via Healthcare Savings,Household Surveys,1.1
Impact,"Improved socioeconomic indicators for families (employment, education levels)",Household surveys,Improved Family Socioeconomic Indicators,Household Surveys,1.1
Impact,"Number of beneficiaries reported reduction in healthcare access disparities (gender, age, income groups)","Beneficiary surveys, health department records",Reduced Healthcare Access Disparities,Surveys & Health Records,1.1
Impact,"Number of marginalized beneficiaries (women, disabled) reported improvement in health outcomes",Health department records,Improved Outcomes for Marginalized Groups,Health Dept. Records,1.1
Sustainability,Ratio of program costs to total health budget,Financial records of SHPI,Program Cost to Health Budget Ratio,SHPI Financial Records,1
Sustainability,Ratio of program costs to projected and actual outcomes,N/A,Cost-to-Outcome Ratio,N/A,1
Sustainability,Amount (PKR) of funding secured from external vs. internal sources,Financial records of SHPI,External vs. Internal Funding (PKR),SHPI Financial Records,1
Sustainability,Availability of updated IT systems and infrastructure,IT department reports,Updated IT Systems,IT Reports,1
Sustainability,Expansion rate of panel hospitals and services offered (Districts or urban vs rural),MIS,Panel Expansion Rate (Hospitals & Services),MIS,1
Sustainability,Adoption of eco-friendly practices in hospitals and logistics,N/A,Eco-Friendly Practices Adoption,N/A,1
